anime_id,Name,Genre
148,Kita e.: Diamond Dust Drops,Romance
149,Loveless,Action
149,Loveless,Boys Love
149,Loveless,Drama
149,Loveless,Mystery
149,Loveless,Supernatural
150,Blood+,Action
150,Blood+,Drama
150,Blood+,Horror
150,Blood+,Mystery
150,Blood+,Supernatural
151,Re: Cutey Honey,Action
151,Re: Cutey Honey,Comedy
151,Re: Cutey Honey,Girls Love
151,Re: Cutey Honey,Sci-Fi
151,Re: Cutey Honey,Ecchi
152,Solty Rei,Action
152,Solty Rei,Sci-Fi
153,Juuni Kokuki,Action
153,Juuni Kokuki,Adventure
153,Juuni Kokuki,Fantasy
154,Shaman King,Action
154,Shaman King,Adventure
154,Shaman King,Comedy
154,Shaman King,Supernatural
155,X/1999,Action
155,X/1999,Drama
155,X/1999,Fantasy
155,X/1999,Horror
155,X/1999,Sci-Fi
155,X/1999,Supernatural
156,X,Action
156,X,Drama
156,X,Fantasy
156,X,Romance
157,Mahou Sensei Negima!,Comedy
157,Mahou Sensei Negima!,Fantasy
157,Mahou Sensei Negima!,Romance
157,Mahou Sensei Negima!,Supernatural
157,Mahou Sensei Negima!,Ecchi
158,Maria-sama ga Miteru,Drama
158,Maria-sama ga Miteru,Girls Love
159,Boukyaku no Senritsu,Adventure
159,Boukyaku no Senritsu,Fantasy
159,Boukyaku no Senritsu,Horror
159,Boukyaku no Senritsu,Sci-Fi
159,Boukyaku no Senritsu,Supernatural
160,"Ima, Soko ni Iru Boku",Adventure
160,"Ima, Soko ni Iru Boku",Drama
160,"Ima, Soko ni Iru Boku",Fantasy
160,"Ima, Soko ni Iru Boku",Sci-Fi
161,Peace Maker Kurogane,Action
161,Peace Maker Kurogane,Comedy
162,Pita Ten,Comedy
162,Pita Ten,Fantasy
162,Pita Ten,Romance
163,Power Stone,Adventure
163,Power Stone,Comedy
163,Power Stone,Fantasy
164,Mononoke Hime,Action
164,Mononoke Hime,Adventure
164,Mononoke Hime,Award Winning
164,Mononoke Hime,Fantasy
165,RahXephon,Action
165,RahXephon,Award Winning
165,RahXephon,Drama
165,RahXephon,Mystery
165,RahXephon,Romance
165,RahXephon,Sci-Fi
166,Samurai 7,Sci-Fi
167,Scrapped Princess,Adventure
167,Scrapped Princess,Comedy
167,Scrapped Princess,Drama
167,Scrapped Princess,Fantasy
167,Scrapped Princess,Sci-Fi
168,s.CRY.ed,Action
168,s.CRY.ed,Adventure
168,s.CRY.ed,Drama
168,s.CRY.ed,Sci-Fi
169,Shingetsutan Tsukihime,Action
169,Shingetsutan Tsukihime,Horror
169,Shingetsutan Tsukihime,Mystery
169,Shingetsutan Tsukihime,Romance
169,Shingetsutan Tsukihime,Supernatural
170,Slam Dunk,Sports
171,Strange Dawn,Adventure
171,Strange Dawn,Drama
171,Strange Dawn,Fantasy
173,Tactics,Mystery
173,Tactics,Supernatural
174,Tenjou Tenge,Action
174,Tenjou Tenge,Comedy
174,Tenjou Tenge,Ecchi
175,Tokyo Underground,Action
175,Tokyo Underground,Adventure
175,Tokyo Underground,Romance
175,Tokyo Underground,Sci-Fi
176,Triangle Heart: Sweet Songs Forever,Adventure
176,Triangle Heart: Sweet Songs Forever,Romance
177,Tsubasa Chronicle,Action
177,Tsubasa Chronicle,Adventure
177,Tsubasa Chronicle,Fantasy
177,Tsubasa Chronicle,Romance
178,Ultra Maniac,Comedy
178,Ultra Maniac,Romance
179,Ultra Maniac OVA,Comedy
179,Ultra Maniac OVA,Romance
180,Vandread,Action
180,Vandread,Sci-Fi
180,Vandread,Ecchi
181,Vandread: The Second Stage,Action
181,Vandread: The Second Stage,Sci-Fi
181,Vandread: The Second Stage,Ecchi
182,Tenkuu no Escaflowne,Adventure
182,Tenkuu no Escaflowne,Fantasy
182,Tenkuu no Escaflowne,Romance
183,Whistle!,Sports
184,Xenosaga The Animation,Action
184,Xenosaga The Animation,Sci-Fi
185,Initial D First Stage,Action
185,Initial D First Stage,Drama
186,Initial D Second Stage,Action
186,Initial D Second Stage,Drama
187,Initial D Third Stage,Action
187,Initial D Third Stage,Drama
187,Initial D Third Stage,Romance
188,Gosenzo San'e,Comedy
188,Gosenzo San'e,Mystery
188,Gosenzo San'e,Supernatural
188,Gosenzo San'e,Hentai
189,Love Hina,Comedy
189,Love Hina,Romance
189,Love Hina,Ecchi
190,Love Hina Again,Comedy
190,Love Hina Again,Drama
190,Love Hina Again,Romance
190,Love Hina Again,Ecchi
191,Love Hina Christmas Special: Silent Eve,Comedy
191,Love Hina Christmas Special: Silent Eve,Romance
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,Adventure
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,Comedy
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,Romance
193,Maburaho,Comedy
193,Maburaho,Drama
193,Maburaho,Romance
193,Maburaho,Ecchi
194,Macross Zero,Action
194,Macross Zero,Adventure
194,Macross Zero,Sci-Fi
195,Onegai☆Teacher,Drama
195,Onegai☆Teacher,Romance
195,Onegai☆Teacher,Sci-Fi
196,Onegai☆Twins,Comedy
196,Onegai☆Twins,Drama
196,Onegai☆Twins,Sci-Fi
197,Rizelmine,Comedy
197,Rizelmine,Romance
197,Rizelmine,Sci-Fi
197,Rizelmine,Ecchi
198,Speed Grapher,Action
198,Speed Grapher,Mystery
199,Sen to Chihiro no Kamikakushi,Adventure
199,Sen to Chihiro no Kamikakushi,Award Winning
199,Sen to Chihiro no Kamikakushi,Supernatural
200,Tenshi na Konamaiki,Comedy
200,Tenshi na Konamaiki,Romance
201,Video Girl Ai,Comedy
201,Video Girl Ai,Drama
201,Video Girl Ai,Romance
201,Video Girl Ai,Ecchi
202,Wolf's Rain,Action
202,Wolf's Rain,Adventure
202,Wolf's Rain,Drama
202,Wolf's Rain,Fantasy
202,Wolf's Rain,Mystery
202,Wolf's Rain,Sci-Fi
203,Words Worth,Adventure
203,Words Worth,Fantasy
203,Words Worth,Hentai
204,Yumeria,Action
